Name_of_Building/Facility,Address_of_Building/Facility,建築物/設施名稱,建築物/設施名稱,CountryPark,郊野公園,Source_of_water,水源,TentSpace,營位數目,Opening Hours,開放時間,Website,網頁,Latitude,Longitude
Lau Shui Heung Camp Site,Lau Shui Heung,流水響營地,流水響,PAT SIN LENG COUNTRY PARK,八仙嶺郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_01_LauShuiHeung.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_01_LauShuiHeung.html,22.49139,114.16708
Tung Lung Chau Camp Site,Tung Lung Chau,東龍洲營地,東龍洲,TUNG LUNG FORT SPECIAL AREA,東龍洲特別地區,TAP,水喉,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_21_TungLungChau.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_21_TungLungChau.html,22.25548,114.29593
Tai Mong Tsai Campsite,Tai Mong Tsai,大網仔營地,大網仔,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,TAP,水喉,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_41_TaiMongTsai1.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_41_TaiMongTsai1.html,22.38553,114.30775
Chung Pui Camp Site,Chung Pui,涌背營地,涌背,PAT SIN LENG COUNTRY PARK,八仙嶺郊野公園,TAP,水喉,20-50,20-50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_03_ChungPui.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_03_ChungPui.html,22.48748,114.24293
Hok Tau Camp Site,Hok Tau,鶴藪營地,鶴藪,PAT SIN LENG COUNTRY PARK,八仙嶺郊野公園,TAP,水喉,20-50,20-50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_02_HokTau.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_02_HokTau.html,22.49841,114.17778
Sam A Chung Camp Site,Sam A Chung,三椏涌營地,三椏涌,PLOVER COVE COUNTRY PARK,船灣郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_04_SamAChung.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_04_SamAChung.html,22.50664,114.2702
Wan Tsai South Camp Site,Wan Tsai South,灣仔南營地,灣仔南,SAI KUNG WEST COUNTRY PARK (WAN TSAI EXTENSION),西貢西郊野公園(灣仔擴建部分),TAP,水喉,More than 50,More than 50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_06_WanTsaiS.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_06_WanTsaiS.html,22.46162,114.34213
Wong Shek Camp Site,Wong Shek,黃石營地,黃石,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,TAP,水喉,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_11_WongShek.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_11_WongShek.html,22.43446,114.33623
Pak Tam Au Camp Site,Pak Tam Au,北潭凹營地,北潭凹,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_12_PakTamAu.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_12_PakTamAu.html,22.42293,114.33584
Sai Wan Camp Site,Sai Wan,西灣營地,西灣,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,TAP,水喉,More than 50,More than 50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_13_SaiWan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_13_SaiWan.html,22.402,114.37152
